Company Name,Job Title,Required Skills,Time Posted,Link to apply
AcuityKnowledgePartners,SeniorPythonDeveloper,"algorithms , python , business rules , triggers , sql , git , django , written communication , debugging , data structures , sql database",Posted 1 day ago,https://www.timesjobs.com/job-detail/senior-python-developer-acuity-knowledge-partners-sri-lanka-0-to-3-yrs-jobid-0O3HvTAaCPNzpSvf__PLUS__uAgZw==&source=srp
"CanvasFacilities
(MoreJobs)",DataAnalyst,"python , business intelligence , analytics , Data Analytics , data analysis , power bi , pandas , coding , tableau , reporting",Posted 1 day ago,https://www.timesjobs.com/job-detail/data-analyst-canvas-facilities-agra-kanpur-lucknow-dehradun-siliguri-1-to-6-yrs-jobid-BgZoINlY__PLUS__dxzpSvf__PLUS__uAgZw==&source=srp
"CanvasFacilities
(MoreJobs)",DataAnalyst,"python , business intelligence , analytics , Data Analytics , data analysis , power bi , pandas , coding , tableau , reporting",Posted 1 day ago,https://www.timesjobs.com/job-detail/data-analyst-canvas-facilities-coimbatore-madurai-salem-trichy-agartala-1-to-6-yrs-jobid-rUEfbdVYEIRzpSvf__PLUS__uAgZw==&source=srp
"CanvasFacilities
(MoreJobs)",DataAnalyst,"python , business intelligence , analytics , Data Analytics , data analysis , power bi , pandas , coding , tableau , reporting",Posted 1 day ago,https://www.timesjobs.com/job-detail/data-analyst-canvas-facilities-bhubaneshwar-amritsar-jalandhar-ludhiana-jaipur-1-to-6-yrs-jobid-IUq9V__SLASH__bdfglzpSvf__PLUS__uAgZw==&source=srp
"CanvasFacilities
(MoreJobs)",DataAnalyst,"python , business intelligence , analytics , Data Analytics , data analysis , power bi , pandas , coding , tableau , reporting",Posted 1 day ago,https://www.timesjobs.com/job-detail/data-analyst-canvas-facilities-indore-aurangabad-nagpur-nasik-thane-1-to-6-yrs-jobid-rfG__PLUS__YOzs__SLASH__CxzpSvf__PLUS__uAgZw==&source=srp
"CanvasFacilities
(MoreJobs)",DataAnalyst,"python , business intelligence , analytics , Data Analytics , data analysis , power bi , pandas , coding , tableau , reporting",Posted 1 day ago,https://www.timesjobs.com/job-detail/data-analyst-canvas-facilities-calicut-kozhikode-cochin-kochi-ernakulam-thiruvananthapuram-bhopal-gwalior-1-to-6-yrs-jobid-__PLUS__tDX__SLASH__P6y5jtzpSvf__PLUS__uAgZw==&source=srp
"CanvasFacilities
(MoreJobs)",DataAnalyst,"python , business intelligence , analytics , Data Analytics , data analysis , power bi , pandas , coding , tableau , reporting",Posted 1 day ago,https://www.timesjobs.com/job-detail/data-analyst-canvas-facilities-surat-vadodara-ranchi-mangalore-mysoru-mysore-1-to-6-yrs-jobid-lfoJsCpyD1VzpSvf__PLUS__uAgZw==&source=srp
"CanvasFacilities
(MoreJobs)",DataAnalyst,"python , business intelligence , analytics , Data Analytics , data analysis , power bi , pandas , coding , tableau , reporting",Posted 1 day ago,https://www.timesjobs.com/job-detail/data-analyst-canvas-facilities-rohtak-shimla-solan-jammu-srinagar-1-to-6-yrs-jobid-RD7xzfkOuI5zpSvf__PLUS__uAgZw==&source=srp
"CanvasFacilities
(MoreJobs)",DataAnalyst,"python , business intelligence , analytics , Data Analytics , data analysis , power bi , pandas , coding , tableau , reporting",Posted 1 day ago,https://www.timesjobs.com/job-detail/data-analyst-canvas-facilities-guwahati-patna-raipur-panjim-panaji-navi-mumbai-1-to-6-yrs-jobid-RSRsuTdXBYxzpSvf__PLUS__uAgZw==&source=srp
OrangeBusinessServices,TechnicalleadDevOps,"docker , security , git , devops , perl , api , cloud computing , big data , python , maven , nosql , gradle , infrastructure , management systems , gateway",Posted 2 days ago,https://www.timesjobs.com/job-detail/technical-lead-devops-orange-business-services-gurgaon-7-to-10-yrs-jobid-lsWf1m51po9zpSvf__PLUS__uAgZw==&source=srp
zscalersoftechpvtltd,ProductSupportEngineerIII-EST/PST,"tcpdump , security , database , apache , linux , debugging , perl , python , gateway , unix",Posted 2 days ago,https://www.timesjobs.com/job-detail/product-support-engineer-iii-est-pst-zscaler-softech-pvt-ltd-bengaluru-bangalore-10-to-13-yrs-jobid-xl__PLUS__EK__PLUS__u26NdzpSvf__PLUS__uAgZw==&source=srp
zscalersoftechpvtltd,ProductSupportEngineerIII-EST/PST,"tcpdump , security , database , apache , linux , debugging , perl , python , gateway , unix",Posted 2 days ago,https://www.timesjobs.com/job-detail/product-support-engineer-iii-est-pst-zscaler-softech-pvt-ltd-bengaluru-bangalore-10-to-13-yrs-jobid-SJwOacgtj7RzpSvf__PLUS__uAgZw==&source=srp
winzonetechnologypvtltd,SecurityEngineer,"udp , c   , system security , security , java , python , cloud services , c , os , operating system , kernel , computer networks , mobile , enterprise security , infrastructure",Posted 2 days ago,https://www.timesjobs.com/job-detail/security-engineer-winzone-technology-pvt-ltd-delhi-2-to-5-yrs-jobid-VI51JXCnA7NzpSvf__PLUS__uAgZw==&source=srp
VeevaSystems,TechnicalArchitect,"c   , java , documentum , c# , python , oracle , .net , sharepoint , it management , security , rest , san , siebel",Posted 2 days ago,https://www.timesjobs.com/job-detail/technical-architect-veeva-systems-mumbai-7-to-10-yrs-jobid-UMBHFKlpTfVzpSvf__PLUS__uAgZw==&source=srp
unifylabssystemspvtltd,SeniorPythonDeveloper,"python , django , git , mysql , mvc",Posted 2 days ago,https://www.timesjobs.com/job-detail/senior-python-developer-unifylabs-systems-pvt-ltd-mysoru-mysore-bengaluru-bangalore-5-to-6-yrs-jobid-GQBmhBgzxGlzpSvf__PLUS__uAgZw==&source=srp
unifylabssystemspvtltd,JavaEngineers,"oop , security , java , j2ee , data structures , python , problem solving , knockoutjs , javascript , spring framework , angularjs , software developer",Posted 2 days ago,https://www.timesjobs.com/job-detail/java-engineers-unifylabs-systems-pvt-ltd-bengaluru-bangalore-3-to-5-yrs-jobid-NtbNn7cG6stzpSvf__PLUS__uAgZw==&source=srp
tresvistafinancialservices,"Associate,DataIntelligenceGroup","hive , python , bi , dbms , sql , nosql",Posted 2 days ago,https://www.timesjobs.com/job-detail/associate-data-intelligence-group-tresvista-financial-services-mumbai-pune-bengaluru-bangalore-3-to-4-yrs-jobid-as80w__PLUS__4i0NNzpSvf__PLUS__uAgZw==&source=srp
PUBLICISGROUPE,SeniorAssociateL2-DS-AI&MachineLearning,"algorithms , orchestration , artificial intelligence , ds , docker , java , data structures , python , machine learning , production environment",Posted 2 days ago,https://www.timesjobs.com/job-detail/senior-associate-l2-ds-ai-machine-learning-publicis-groupe-bengaluru-bangalore-0-to-3-yrs-jobid-eXw40eowqaVzpSvf__PLUS__uAgZw==&source=srp
paxceltechnologiespvt.ltt/paxcomindia(p)ltd,TeamLead-(MeanStackDeveloper),"css , git , postgresql , debugging , telecom , html , python , oracle , ivr , mobile , project delivery",Posted 2 days ago,https://www.timesjobs.com/job-detail/team-lead-mean-stack-developer-paxcel-technologies-pvt-ltt-paxcom-india-p-ltd-mohali-gurgaon-6-to-9-yrs-jobid-MAHQEhRn9RtzpSvf__PLUS__uAgZw==&source=srp
nutanxttechnologies,SeniorPythonDeveloper,"hosting , storage , database , git , testing tools , linux , debugging , software engineer , cloud computing , technical skills , python , django",Posted 2 days ago,https://www.timesjobs.com/job-detail/senior-python-developer-nutanxt-technologies-pune-3-to-5-yrs-jobid-ilhG__PLUS__tq9jBdzpSvf__PLUS__uAgZw==&source=srp
Nineleaps,DataAnalyst,"data mining , bi , sql , xml , python , javascript",Posted 2 days ago,https://www.timesjobs.com/job-detail/data-analyst-nineleaps-bengaluru-bangalore-7-to-10-yrs-jobid-wcuAhY0JpsFzpSvf__PLUS__uAgZw==&source=srp
